Timestamp,Hostname,EventID,User,ServiceName,Message,Exe
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,Tile session 5 is closed with error code The operation completed successfully..#015,Null
1740105760,DESKTOP-RKJA15K,3212,System,Microsoft-Windows-PushNotifications-Platform,Endpoint 0x259d281c888 is being cleanedup#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Invalidating cache for F5F7FB0A-DC21-AE16-C007-78D99DDA99CB  Function: LicenseManager::RefreshCacheForContentWithId  Source: onecoreuap\enduser\winstore\licensemanager\lib\manager.cpp (174)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,0x184501331f8: 14168: RootMachine: Dispatch: Root:Connect => Root:Valid#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Refreshing content F5F7FB0A-DC21-AE16-C007-78D99DDA99CB outside of KeyMachine  Function: LicenseManagerCore::Refresh  Source: onecoreuap\enduser\winstore\licensemanager\lib\managercore.cpp (835)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Considering License ID {1EDAA201-303C-608D-0F05-4646BB0CA0A5} for content ID F5F7FB0A-DC21-AE16-C007-78D99DDA99CB...  Function: ClipStorage::GetKeyDocumentForContentWithIdAndMinQuality  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (192)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Decoding: {}  Function: DecodeCustomPolicy  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipdocument.cpp (50)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Accepting key with License ID {1EDAA201-303C-608D-0F05-4646BB0CA0A5} for Content ID F5F7FB0A-DC21-AE16-C007-78D99DDA99CB (first match)  Function: ClipStorage::GetKeyDocumentForContentWithIdAndMinQuality  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (223)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Considering License ID {6B288EBA-7505-73D2-D2C9-DB01C40DE4C3} for content ID F5F7FB0A-DC21-AE16-C007-78D99DDA99CB...  Function: ClipStorage::GetKeyDocumentForContentWithIdAndMinQuality  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (192)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Ignoring key for F5F7FB0A-DC21-AE16-C007-78D99DDA99CB with quality 1fffffff (0x00000000) (no better than best)  Function: ClipStorage::GetKeyDocumentForContentWithIdAndMinQuality  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (251)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Returning key document for contentid F5F7FB0A-DC21-AE16-C007-78D99DDA99CB  Function: ClipStorage::GetKeyDocumentForContentWithIdAndMinQuality  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (262)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Getting lease for F5F7FB0A-DC21-AE16-C007-78D99DDA99CB  Function: LicenseManagerCore::GetExistingLeaseAndLicense  Source: onecoreuap\enduser\winstore\licensemanager\lib\managercore.cpp (415)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,"Decoding: {""entitlementId"":""6d1c6cd00b0f4250b1495ddd04644260"",""entitlementSatisfaction"":""Device"",""isOffline"":true,""leaseEnforcement"":""None"",""leaseUri"":""https://licensing.md.mp.microsoft.com/v7.0/licenses/?beneficiaryId=msahwonecoreuap\enduser\winstore\licensemanager\lib\clipdocument.cppa6966507891112968&contentId=f5f7fb0a-dc21-ae16-c007-78d99dda99cb&entitlementId=6d1c6cd00b0f4250b1495ddd04644260&market=US&policyType=Device"",""keyIds"":[""1edaa201-303c-608d-0f05-4646bb0ca0a5""],""kind"":""Content"",""packages"":[{""packageIdentifier"":""f5f7fb0a-dc21-ae16-c007-78d99dda99cb"",""packageType"":""OS"",""productAddOns"":[],""productId"":""BF712690S69J"",""skuId"":""0001""}],""pollAt"":""2025-02-27T18:22:12.7533827+00:00"",""refreshOnStartup"":false,""version"":7}  Function: DecodeCustomPolicy  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipdocument.cpp (50)#015",Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Adding lease {ABBB6A0B-9A39-8006-E352-50B487353320} to results  Function: ClipStorage::GetLeaseDocumentsForKeyDocument  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (387)#015,Null
